Event ID,Team One,Team Two
fc414bfc-33b5-400d-9d43-111ac9496731,Phillies,Blue Jays
dff8f4c4-a089-4454-bea6-adf25e2d84be,White Sox,Orioles
a99ecf5b-8477-4330-846a-ed1aa55d260d,Nationals,Marlins
7dd518df-3071-4dcc-a058-adfc134ee3a5,Astros,Reds
c478c59e-74c4-499a-bc09-18addac14f98,Twins,Rays
d5547cbe-82a3-428b-999c-a115042c062d,Red Sox,Mets
5169c2fb-a07c-48d3-bfab-296f2af5b408,Rockies,Braves
ddf11dd1-f455-4f57-ad86-1c04a4b32bb4,Guardians,Royals
156c1c5c-0f97-46c6-8922-c2659dd75087,Cardinals,Brewers
c4681ea5-54f8-4ac5-be99-5993de212e1b,Pirates,Cubs
8e27822c-c2b4-405a-86ab-07fe9badddae,Yankees,Rangers
796901a3-5ad7-49da-9c80-dc8bc29704d2,Dodgers,Angels
3379ae49-3448-4b7e-bf47-9318476ef462,Tigers,Padres
6f5de5c6-04b0-4ba8-93e5-f44b89d973e3,Mariners,Athletics
d6dde295-50a2-413a-a27b-c6e3cc0452e4,Diamondbacks,Giants
